City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
116,ribeira grande,38.5167,-28.7,287.47,89,8,2.24,PT,1737171362
117,sefwi wiawso,6.2044,-2.4886,294.09,98,34,0.78,GH,1737171363
118,lata,40.1629,-8.3327,275.85,81,0,2.07,PT,1737171364
119,anadyr,64.75,177.4833,244.43,75,0,6.0,RU,1737171366
120,biloela,-24.4167,150.5,305.53,28,0,4.79,AU,1737171367
121,escanaba,45.7453,-87.0646,275.13,75,100,4.12,US,1737171368
122,chrudim,49.9511,15.7956,273.03,93,100,2.24,CZ,1737171369
123,invercargill,-46.4,168.35,289.83,88,100,4.02,NZ,1737171370
124,kodiak,57.79,-152.4072,277.88,100,100,7.72,US,1737171371
125,selfoss,63.9331,-20.9971,276.51,98,100,8.51,IS,1737171372
126,cockburn town,21.4612,-71.1419,297.62,71,94,9.77,TC,1737171373
127,tshabong,-26.05,22.45,296.27,66,38,4.26,BW,1737171374
128,georgetown,5.4112,100.3354,303.12,51,20,6.71,MY,1737171375
129,tovuz,40.9922,45.6289,275.22,55,16,2.13,AZ,1737171376
130,minas de marcona,-15.2119,-75.1103,289.48,85,68,4.36,PE,1737171377
131,camocim,-2.9022,-40.8411,299.05,81,100,3.68,BR,1737171378
132,patacamaya,-17.2333,-67.9167,280.56,85,79,3.46,BO,1737171379
133,zhumysker,49.3333,49.4,273.51,99,100,2.98,KZ,1737171380
134,sidi bennour,32.6524,-8.4277,282.85,84,42,1.24,MA,1737171263
135,meadow lakes,61.6247,-149.6011,273.77,59,89,2.24,US,1737171382
136,jiazi,22.8779,116.067,288.41,50,98,6.8,CN,1737171384
137,gadzhiyevo,69.2551,33.3362,274.13,99,100,2.43,RU,1737171385
138,alice springs,-23.7,133.8833,308.9,11,0,7.72,AU,1737171386
139,simrishamn,55.5565,14.3504,277.52,92,93,6.72,SE,1737171387
140,zaozersk,69.4005,32.4476,274.62,100,100,3.12,RU,1737171388
141,nar'yan-mar,67.6713,53.087,269.85,98,100,3.3,RU,1737171389
142,sao vicente,-23.9631,-46.3919,297.58,26,100,0.8,BR,1737171390
143,acajutla,13.5928,-89.8275,297.42,70,7,3.04,SV,1737171391
144,leava,-14.3,-178.1667,301.71,73,37,2.27,WF,1737171392
145,arkalyk,50.2486,66.9114,256.97,99,100,3.91,KZ,1737171393
146,iskateley,67.6803,53.1512,269.64,98,100,3.55,RU,1737171394
147,broome,42.2506,-75.833,273.1,75,20,5.14,US,1737171395
148,vorgashor,67.5833,63.95,263.86,95,100,5.69,RU,1737171396
149,punta arenas,-53.15,-70.9167,285.21,66,75,10.8,CL,1737171398
150,ban houakhoua,20.2453,100.4547,298.74,38,35,0.57,LA,1737171399
151,dudinka,69.4058,86.1778,255.7,96,100,4.71,RU,1737171400
